id,name,year,rank
7376410,The Visit,1995,6.2
1907657,The Other,2010,6.1
5687444,Digari,2001,7.8
104106,What's Up?,1992,5.8
7164066,Disappearance,2017,6.7
449558,Aida-I Saw Your Father Last Night,2005,5.6
819880,The Insane Flew Away,2003,5.9
1933565,Frantic,1995,3.7
1313108,The Wall,2008,5.3
5810204,Divar-e shishei,1971,4.6
259981,Djomeh,2000,6.8
8249374,Two Brides,2017,5.3
87155,Do Cheshman Beesu,1984,4.0
7226698,Do Nafar O Nesfi,1991,5.7
939858,One Ticket-Two Movies!,1991,4.9
2385059,Do kalle-shagh,1977,4.5
149302,Two Halves of an Apple,1992,5.5
212573,Two Women,1999,6.7
13052070,Life Again,2018,4.2
1513755,Dog Sweat,2010,6.5
5483082,Daughter,2016,6.0
7881364,Cousins,2017,3.2
1933566,The daughter of the king of fairies,1968,3.9
757920,The Pastry Girl,2002,5.6
343600,Dokhtarak-e kenar-e mordab,1989,6.0
3350994,Expectance Girls,1999,5.2
2325643,Dokhtare Shahe Parion,2011,3.7
361527,The Shepherd Girl,1953,5.5
424048,The Vagabond Girl,1964,4.7
370473,A Girl from Shiraz,1954,5.4
233798,The Girl in the Sneakers,1999,6.2
1091763,A Girl Named Tondar,2000,4.2
411296,A Girl Is Screaming,1962,6.6
1363365,Dolar,1988,4.2
821765,Domrol,1994,5.9
3547106,Don't Be Tired!,2013,6.8
5766064,Don't Forget Your Childhood,2015,3.3
364310,Donya,2003,5.3
1111311,Blue World,1969,5.4
7678492,A World Full of Hope,1969,5.1
7825586,The Inverted World,1998,5.1
384050,Doostan,2000,3.7
4704766,Hell-Purgatory-Paradise,2009,4.8
5389860,Around the World with Empty Pockets,1970,7.0
4917384,Time to Love,2015,5.5
319314,The Carriage Driver,1971,6.9
5389740,The Enemy,1973,4.4
8589358,Woman's Enemy,2018,4.0
11954824,The Enemies,2020,7.3
389943,Woman's Enemy,1959,4.1
13096500,Two Friends,2015,2.7
12171216,Two Sister,2010,4.1
5706802,Dour az Hayahoo,2008,7.6
4916176,Dowry's Sugar Bowl,2015,6.0
123046,Thief of Dolls,1990,6.3
961048,The Thief and the Writer,1987,5.4
1111892,The Thief and the Cop,1970,5.2
293111,The Black Suit Thief,1968,6.2
4498818,Dreamy,2014,3.4
8037650,Dressage,2018,5.6
5897312,Drum,2016,5.9
7897052,Du Mahe Shamsi,2017,8.2
401394,Duel,2004,6.4
6207962,Duet,2016,4.8
7941920,EXAM,2010,8.0
1822212,Earring,2007,5.4
428481,Abraham in Paris,1964,3.3
8386652,Eczema,2017,5.8
6393518,EfratiHa,2010,3.0
1924254,Efrit,1982,2.1
9294994,Eghlima,2007,6.0
121973,O Iran,1990,6.7
11968836,Mastermind,2019,5.3
99492,The Tenants,1987,7.7
5463378,A Dragon Arrives!,2016,6.7
1388418,Deportees,2007,4.6
1431240,Deportees 2,2009,2.9
