id,fname,lname
10161942,Amir,Athar Soheili
315535,Ali,Mohammad Ghasemi
6428059,Kaveh,Ebrahimpour
3009133,Massoud,Bakhshi
8427965,Shaollah,Nazerian
968527,Asghar,Abdollahi
9185497,Mostafa,Taghizadeh
6997859,Nima,Farahi
3444024,Javad,Razavian
1252622,Shirin,Neshat
1250603,Shoja,Azari
11802032,Fereydoun,Khosravi
2930418,Saeid,Malekan
1937881,Bani,Khoshnoudi
